108 6001
16 9 220
96 15 736
69 98 1497
76 35 952
74 32 1431
38 10 1972
89 11 1187
49 61 2128
97 42 2466
71 47 1583
108 62 1532
43 65 1650
47 41 501
50 8 1743
75 82 1881
13 27 1502
28 23 1587
83 88 594
55 76 1947
23 55 1461
12 54 839
10 4 2535
21 51 1087
54 8 1266
104 99 1097
94 3 2146
2 30 1194
28 20 1212
104 41 1611
50 30 2003
11 80 2206
30 102 2342
96 57 1180
104 20 745
2 95 1757
4 105 1311
64 85 69
85 67 643
17 72 2277
62 104 1702
33 37 1032
27 6 474
83 45 448
10 79 1282
13 98 1426
9 43 2147
54 106 1981
3 99 1806
54 23 1942
47 85 1209
81 9 1327
83 73 1597
35 11 786
5 59 1814
11 18 1464
53 26 2151
66 10 1185
56 77 1454
79 107 1703
71 24 466
95 101 750
38 92 1879
79 18 719
37 23 1101
24 33 2511
19 101 1088
67 58 1957
10 22 2426
22 8 1860
80 78 2150
18 64 281
85 9 1989
8 87 1262
50 32 1107
41 55 2550
66 73 1893
7 47 1264
82 56 1793
34 93 2173
92 80 2927
65 98 992
63 74 1791
44 82 1906
59 23 915
95 79 1449
88 36 1991
18 6 1545
89 69 2407
74 47 863
61 102 1657
50 5 996
16 24 1390
97 37 1721
27 98 2001
105 104 1064
49 75 1830
107 108 2715
36 35 838
82 6 2260
76 42 2828
96 49 2293
11 83 1586
63 83 1468
52 69 2283
48 51 641
30 88 1061
29 38 1555
24 73 1501
1 63 1436
38 46 1233
16 33 1591
26 43 1983
39 13 1807
95 65 1965
39 4 556
31 33 2264
37 77 1376
104 100 1463
6 8 2114
37 61 1656
48 14 1421
90 108 1613
102 85 1557
74 22 1199
93 9 2617
33 99 1963
1 26 1895
9 42 2398
16 12 2408
23 61 1025
36 86 890
52 57 1467
28 15 1182
65 102 1871
89 20 1192
95 97 1153
12 78 2163
70 64 1542
81 86 1277
108 17 1770
89 68 439
52 11 1671
24 38 1068
85 10 619
23 98 1917
102 84 2711
73 4 2317
52 73 2037
62 45 1457
57 60 2091
19 41 1923
67 92 1418
79 23 1164
89 107 2147
16 38 1747
71 31 1192
22 103 1300
50 62 1050
34 31 2330
28 87 1086
21 14 2230
98 80 1663
78 50 2475
95 46 1861
45 77 474
77 55 1382
9 76 175
51 34 1613
74 83 1133
33 2 179
67 39 1972
34 28 1331
107 105 2006
3 107 1776
21 44 2342
76 28 1991
53 52 270
24 103 1088
72 68 981
42 8 803
7 74 503
93 15 1999
58 14 1151
72 32 1659
43 99 1569
70 105 1253
14 94 1611
24 9 1714
107 22 2854
6 36 2118
79 105 1239
103 15 1460
82 62 1987
29 21 943
19 55 1071
15 49 1851
108 82 350
24 78 1192
45 7 1946
97 67 3069
93 20 1934
77 14 1904
29 45 1037
49 11 1855
79 75 1040
95 48 2231
10 17 1662
71 40 1579
59 14 1479
43 33 393
27 62 1755
103 49 1919
39 79 1364
1 20 1646
73 6 2245
70 100 1170
13 18 1319
26 88 1555
96 54 1586
12 80 790
73 8 593
29 88 1595
65 75 1847
95 52 2675
80 81 1106
98 106 1409
63 93 2119
42 104 2793
53 75 1920
33 82 2264
62 61 2003
77 78 2151
3 50 2530
58 52 1846
13 39 1736
93 29 2292
44 107 2349
64 40 1778
71 92 1231
31 17 1263
15 94 2123
79 80 1918
36 34 1042
87 39 1356
18 33 1948
62 23 1637
60 106 790
8 76 2005
99 28 721
23 45 1543
8 47 1687
85 33 1810
56 69 2432
85 47 937
18 80 1264
59 49 2443
24 82 1653
30 1 815
69 62 1296
76 108 379
69 48 1412
16 8 1427
100 71 1576
25 42 1328
84 107 1065
27 15 2167
103 54 545
90 83 955
19 43 882
35 98 1142
82 95 584
106 83 2023
68 8 1519
25 15 911
52 45 1055
62 98 1162
60 73 2620
94 23 1981
12 65 2098
17 51 889
19 69 1733
101 78 1518
16 19 1476
11 60 1245
108 19 1844
82 80 2206
14 47 1435
11 32 702
60 59 1399
34 75 1809
90 93 1487
51 101 1242
95 9 583
32 35 856
107 34 1802
26 8 1420
43 37 930
40 47 1827
56 52 1613
22 94 1657
23 5 1550
82 39 1338
21 89 1863
35 31 1300
61 38 1086
11 90 437
51 28 2145
18 42 1161
85 89 2008
70 9 1686
90 12 1811
98 94 1534
19 22 1602
54 57 1154
95 25 1024
42 56 1527
86 54 974
19 14 2351
107 104 2987
23 16 995
51 67 905
52 64 1890
73 41 2445
21 49 295
61 1 2074
4 43 1545
3 38 1294
33 55 1291
28 34 1971
60 11 1617
18 68 2159
81 52 2297
13 105 1328
77 53 1553
94 55 2245
28 4 1409
63 23 1277
24 55 1607
91 82 1422
88 33 1427
44 66 1490
34 38 177
5 67 1385
13 51 1640
81 36 719
60 79 941
50 33 2404
59 36 1404
49 59 2128
81 93 2188
55 86 984
108 54 2058
66 19 1780
25 36 1293
60 15 1128
31 106 1577
79 2 2430
43 61 2670
4 1 2261
53 97 2547
37 43 1495
71 43 1940
17 16 2159
83 40 645
45 8 307
50 38 1451
12 24 1550
52 66 2175
34 86 589
75 30 1927
8 83 887
44 22 1578
76 36 734
7 101 2082
30 73 543
95 107 2633
38 64 1241
88 57 999
70 87 1980
78 77 2133
27 29 2370
64 105 1279
55 16 2298
85 104 1793
43 54 1295
57 98 1689
29 96 2962
36 63 1140
21 47 903
48 75 1119
19 87 2205
26 57 1691
41 45 2358
52 100 2718
105 50 1313
2 37 1685
98 3 1315
44 75 2120
91 25 842
73 40 570
52 71 1466
16 64 1585
61 34 1171
68 62 1336
9 22 1136
45 27 2336
21 101 1300
3 51 1937
43 80 1365
82 19 2157
44 92 1872
16 20 577
49 108 2034
2 85 1609
17 81 2331
79 88 1352
71 63 1482
29 35 1767
108 80 1726
19 68 1565
18 88 546
23 53 1591
40 29 1251
10 51 1022
104 47 2055
67 1 2209
95 51 2357
3 23 1465
37 106 1274
54 85 1530
14 68 2004
66 89 1899
2 82 2505
16 107 2614
91 103 1690
42 12 1596
93 27 973
23 50 2055
20 33 1969
13 6 856
80 17 1759
76 68 1404
85 81 1910
2 36 1449
44 63 1055
44 90 1754
66 31 1289
101 63 1045
21 84 1649
8 101 666
84 76 1988
70 28 2187
58 10 1687
93 67 1672
64 3 1824
45 20 1587
91 77 2548
62 103 961
37 53 1040
45 51 613
101 85 996
36 25 944
45 74 1948
20 91 1683
22 42 2002
57 75 1619
41 36 2372
77 88 925
30 46 1673
42 84 1706
18 99 546
58 64 1366
39 30 2075
21 74 971
79 71 1445
8 68 1475
43 28 2628
38 74 1116
83 55 1191
58 45 1560
64 70 1413
36 31 2282
81 28 1724
46 62 1058
8 44 1288
57 51 1682
38 1 1465
4 38 989
106 12 1903
34 85 1073
102 57 2161
12 92 2963
68 64 2390
52 1 935
7 25 1390
21 97 2532
11 27 2027
44 30 703
42 43 2076
94 76 1852
83 86 980
48 97 2073
60 72 1889
99 15 1189
107 21 947
51 58 2070
61 68 1379
55 3 728
11 44 1731
87 45 1510
58 63 2119
34 25 661
41 39 1428
89 105 1520
108 5 1964
18 75 1314
77 79 2065
13 67 1086
48 32 993
85 71 1073
8 19 533
102 74 824
98 70 1052
77 35 1276
97 54 1316
63 99 1036
49 15 2261
24 100 753
71 32 1061
72 24 1465
4 32 1063
99 41 1618
53 30 2241
63 106 1109
72 2 1157
6 64 1557
94 39 1798
86 108 1521
9 15 1509
48 100 1758
79 3 1468
11 88 1053
40 58 2255
53 46 640
54 11 2025
25 74 1833
45 60 2049
103 53 1878
108 77 2438
92 16 2430
96 3 2194
74 13 503
12 69 2403
8 10 1980
18 12 1844
108 45 2174
75 9 1706
19 96 2385
3 89 1332
18 105 922
36 107 2643
49 13 1707
25 83 1216
53 91 2032
59 16 1324
90 15 511
56 89 1597
33 15 2064
26 17 1617
2 51 1333
89 86 1170
33 42 2336
4 66 1278
20 27 2618
29 85 1362
65 82 2447
94 34 2037
108 18 1242
33 105 1328
83 65 1054
60 55 1896
76 75 1049
24 32 272
106 96 1313
18 41 1150
19 91 1551
35 108 1379
67 104 2029
41 76 1757
8 38 1188
17 2 2358
108 51 2100
8 74 1962
9 87 1845
92 104 1997
19 15 2130
40 49 1309
72 23 1403
83 13 995
13 59 1491
14 88 1434
80 12 1197
45 58 1729
41 35 1317
59 65 1934
7 21 1193
94 43 1888
24 13 989
52 6 2065
19 32 955
14 41 1376
78 99 1560
8 6 1982
42 20 2285
35 34 1238
36 92 2679
75 12 2704
19 34 1192
53 65 364
82 14 1072
107 87 1385
97 1 1725
102 63 2674
42 76 2155
75 52 1951
75 41 1088
102 33 2839
27 41 989
108 2 1543
13 104 2620
7 66 778
23 36 1265
101 64 833
99 105 1409
24 87 1191
1 69 1693
52 63 1567
29 105 1057
74 104 1515
76 24 1815
93 46 2036
5 68 1704
19 60 2019
62 67 900
104 90 1956
89 106 1366
6 65 2197
64 1 1608
70 74 2073
77 58 2387
96 42 1918
88 46 235
23 65 1794
6 34 2012
108 46 1753
81 26 1337
31 48 910
26 3 1609
34 72 1226
54 56 1447
5 43 2393
93 38 1542
55 81 1081
105 70 583
42 41 1355
83 42 804
22 107 2109
24 64 563
3 95 1428
59 91 1004
9 20 545
47 11 1677
15 65 1983
96 77 2083
84 10 2352
20 68 1101
18 101 1109
81 91 1844
84 26 1962
39 102 1568
101 4 804
23 84 2048
26 53 1540
17 78 1722
19 37 489
36 45 1170
24 27 1297
15 68 1859
97 48 2357
90 60 1703
1 75 2331
87 44 2280
103 30 952
88 15 1247
17 38 1913
79 63 985
19 94 1944
94 41 1158
60 102 1011
2 96 1966
57 90 1421
19 86 1076
91 102 1974
106 86 1859
85 30 1638
55 103 799
56 65 2160
96 27 2038
89 88 1402
76 85 1923
74 19 1336
51 92 1120
60 78 1497
37 93 1483
26 86 1342
93 32 1374
86 88 861
80 75 2085
9 72 1525
64 39 1169
68 20 1109
5 34 1959
98 84 1192
99 78 1400
76 9 962
108 86 1490
79 69 1670
103 32 1317
59 86 652
34 106 1873
47 83 1618
80 28 2091
56 9 1653
41 31 1657
66 53 1339
15 52 1719
78 38 1261
47 48 1528
43 106 1763
26 31 1923
47 77 2281
88 65 1137
19 47 1641
49 50 165
9 68 1010
76 64 1532
5 35 1114
53 22 1869
66 2 2459
5 103 1784
97 70 1212
53 81 1719
96 99 1989
25 4 826
93 59 2269
64 99 753
28 27 1671
94 28 1848
98 38 1306
5 47 1059
42 34 2028
17 105 1330
58 1 2287
42 75 1841
105 66 1716
2 67 2601
97 61 2811
1 35 1199
96 76 968
89 93 1875
30 42 1829
66 99 1276
41 3 2705
83 4 1686
45 32 1375
100 104 778
68 105 1009
14 105 1574
5 108 2131
46 88 345
84 25 1105
30 49 2450
32 42 1366
52 101 1519
83 64 828
94 16 2045
90 105 495
102 104 1880
11 97 2018
2 29 1896
31 27 1201
95 80 1374
29 92 2138
37 73 1538
9 45 2233
40 84 904
79 31 1426
88 8 859
92 76 2669
12 76 1824
54 105 943
26 73 2092
25 93 2368
97 103 1304
49 98 854
41 75 1545
85 62 585
94 57 2039
5 40 1661
42 67 1419
1 29 901
71 54 830
76 94 2008
10 83 956
76 39 1330
89 79 1135
13 55 1889
91 40 1968
101 61 1136
78 102 1892
22 11 827
102 81 2115
38 48 1475
83 74 1436
13 57 2310
57 38 797
68 66 2231
41 67 928
9 49 2298
19 6 1903
29 99 1452
17 45 1659
80 101 827
45 22 2475
10 90 1145
47 37 1398
20 38 1638
84 94 1589
48 103 1186
73 13 1628
24 98 1157
85 7 1539
77 105 1392
98 16 2297
80 92 2235
8 34 845
79 46 1541
18 40 1427
107 68 2384
41 16 2180
47 104 1856
69 40 2342
65 52 1032
97 57 1137
96 16 789
21 10 1358
28 88 1631
89 14 1791
54 12 1262
36 68 803
42 6 1797
23 74 1827
97 47 3008
36 51 2450
106 51 1346
24 60 985
6 32 1088
50 95 2552
75 44 2213
95 66 1568
63 54 658
81 105 1001
64 98 1172
61 40 1842
100 7 1136
103 45 789
24 101 1324
26 27 1075
69 66 1362
43 71 1440
4 30 2078
17 55 1807
6 9 1538
62 69 1574
68 29 2777
20 102 2307
12 33 1077
84 75 2542
107 35 2345
8 93 2055
58 62 1830
5 93 1603
87 97 1958
63 17 1476
82 26 1802
1 59 1919
85 25 1596
83 75 2126
106 60 1045
108 64 1122
98 61 1807
34 44 405
39 34 1842
71 8 1397
97 40 1075
63 30 1419
87 80 1764
69 87 852
36 91 1681
99 76 1440
90 65 1532
15 6 1700
42 44 2153
23 7 1597
85 103 1589
40 57 683
25 16 764
4 58 1771
2 99 2351
77 1 315
49 71 1003
54 76 1695
98 23 1822
12 84 987
6 1 2267
70 20 1750
102 46 1216
99 58 1124
11 23 648
91 92 1983
12 97 837
47 108 2319
74 21 1189
86 11 1237
56 20 2383
45 86 1082
35 51 1277
9 16 496
47 67 886
47 86 1853
79 51 1129
61 71 1539
1 77 876
27 101 2312
46 47 1309
40 9 1656
90 22 1483
14 46 1848
80 67 2796
73 100 2163
15 86 987
96 38 1837
10 55 1821
9 97 1837
79 35 855
86 90 788
36 71 1826
10 84 1833
46 72 1535
21 36 2839
46 66 1921
29 54 1538
98 79 1096
23 58 1159
73 42 1218
54 51 1649
16 81 901
8 64 1564
79 21 2083
22 78 1621
88 20 1854
49 91 1933
19 17 1143
95 85 2294
44 43 1110
94 52 1200
82 70 1361
53 42 1048
74 49 1602
59 10 2056
78 106 1016
76 8 1780
7 54 1574
107 72 1777
58 51 2290
1 46 1225
87 47 492
99 84 1848
49 1 1045
34 15 1316
2 22 2730
17 67 1262
71 5 1258
95 96 1043
52 90 1407
77 17 919
84 8 827
24 74 1271
47 91 1189
64 107 1808
103 85 1087
33 27 3142
43 22 2177
47 79 1127
73 70 1495
33 1 1674
88 56 1176
103 90 573
79 36 1436
105 92 2023
28 100 360
14 26 980
37 100 1625
1 97 2016
28 77 2503
10 71 1628
18 27 1198
1 86 1252
43 74 2297
71 65 1407
100 107 2312
16 99 1846
53 18 1578
38 27 1702
54 50 1324
4 13 1647
74 93 531
66 91 971
48 65 548
21 96 2265
106 40 2061
68 78 1979
7 97 2386
16 52 2798
62 1 1724
96 75 1276
53 73 1398
41 44 2532
100 57 1501
84 16 1908
2 23 1946
72 25 460
87 93 1675
56 93 2418
38 26 1297
20 10 2552
92 90 1643
29 22 2722
76 30 2061
39 21 2334
95 23 762
48 94 786
57 88 1090
69 35 1738
67 106 1488
92 70 2503
73 57 1172
3 87 1921
65 68 1673
67 90 1260
56 79 2370
4 39 649
29 23 1984
98 37 896
62 95 2014
40 28 2232
104 92 2537
97 69 2817
95 16 1386
57 36 993
85 80 1508
92 6 1422
84 74 2273
37 60 1930
76 88 1738
88 87 913
50 61 2165
22 89 1802
58 65 1853
108 65 1865
95 102 2837
70 68 1067
15 35 651
106 30 1541
101 25 1029
58 85 1791
84 49 1818
33 87 2407
17 36 2593
96 35 1168
72 37 1485
54 15 1991
41 29 1968
35 66 728
92 58 1030
83 107 1326
7 85 1378
23 28 1656
26 78 722
97 7 2554
43 21 2282
99 65 999
7 14 1153
34 48 1033
98 48 913
45 100 2030
83 19 1454
1 5 1718
97 11 2635
60 32 906
54 99 1893
71 20 1397
92 107 1549
37 107 1863
29 3 2208
86 50 1998
7 92 1319
54 93 2791
57 54 1088
107 17 421
87 103 1627
2 88 1849
16 92 2267
30 8 1177
33 58 2447
98 46 643
92 68 2630
53 14 1742
16 70 1651
93 85 1655
81 63 474
39 80 1883
104 4 346
98 33 1132
11 81 1842
26 70 1656
103 69 1491
71 30 1971
39 45 2119
61 29 2542
7 17 1540
71 55 1728
89 34 724
29 84 1480
2 100 2430
87 54 1849
48 91 1715
77 49 806
29 76 2539
57 96 1158
73 85 1965
35 62 600
100 42 2490
47 71 663
4 88 2089
2 66 2634
103 21 1364
89 5 1655
6 33 2734
108 105 1269
108 85 1767
70 27 2507
39 19 2057
40 65 812
33 68 1041
63 76 1362
54 97 1591
45 96 2107
23 95 1012
94 26 1776
4 7 1443
84 59 2017
43 105 1899
35 1 1705
72 97 1043
40 78 2210
22 9 648
89 2 844
74 27 685
93 49 2047
68 107 2358
48 52 912
57 73 946
70 103 884
50 16 2418
96 39 1145
30 63 800
79 5 1352
77 37 1173
104 84 2067
8 49 1368
92 101 1569
31 78 1719
25 40 1271
40 11 1824
52 14 2241
96 21 2767
106 45 1495
102 36 2108
17 100 2274
108 92 1651
30 77 1317
54 9 2239
2 35 1736
94 20 1784
81 40 1387
105 12 1802
41 60 529
92 4 1749
100 40 2105
41 25 1786
16 42 2451
93 2 2468
78 22 1304
67 77 1450
63 104 1764
11 55 2058
10 74 1496
17 6 2448
8 51 919
75 91 610
74 14 568
107 14 1941
95 108 639
66 82 1453
73 88 1760
36 22 944
104 22 477
3 72 885
93 71 1222
58 100 778
56 6 3185
42 5 1000
16 86 1265
96 29 2185
91 106 649
20 100 751
9 3 2065
106 5 1286
68 5 1953
42 62 1164
86 25 880
77 83 1178
101 42 1198
99 55 1539
11 47 1665
19 49 1750
74 46 1419
44 25 904
10 58 1847
78 63 1822
16 55 1666
32 58 1055
94 107 990
34 78 1414
11 43 1694
35 36 1237
61 69 2266
91 54 1752
26 69 1417
18 71 432
65 37 1568
50 35 2244
100 20 1192
2 62 1837
102 73 2288
29 108 2699
56 61 2870
32 43 1556
86 84 791
87 9 2422
88 34 1538
30 24 1940
8 18 623
1 106 1948
46 106 1800
9 58 1963
56 8 1783
33 107 1731
12 7 2118
36 80 846
86 3 1313
1 8 761
27 31 1101
11 48 1135
18 93 1015
98 10 1374
13 24 825
11 3 2171
17 34 1859
5 60 598
60 30 2127
87 61 2026
5 16 1356
22 108 342
22 24 1064
32 87 733
55 90 1053
23 107 2419
30 65 2086
89 95 865
83 63 999
87 78 1091
53 38 2063
21 69 1743
17 32 1753
23 105 945
61 11 1475
12 100 2034
76 103 1401
62 65 1370
32 107 1334
1 72 1816
29 8 1034
84 37 1146
14 49 2195
91 75 340
102 66 1496
85 76 1849
55 33 1230
86 47 2266
103 27 1767
103 58 1751
3 18 1183
27 9 2315
34 39 1426
68 21 2903
98 30 1259
45 6 1710
107 60 1592
48 93 1685
74 60 392
84 41 1891
14 107 2652
100 79 515
37 101 864
51 68 2269
107 13 1434
104 76 415
17 10 1253
90 69 1927
21 63 1792
78 91 442
76 93 2614
13 101 1202
63 29 2073
101 79 976
67 93 927
100 88 1535
25 12 1130
8 9 1768
82 30 1631
23 15 640
102 90 1047
31 10 296
38 89 793
14 63 1329
93 103 2347
88 18 817
60 7 920
95 29 2528
3 39 1604
4 69 2408
13 106 1593
72 89 205
35 96 985
5 6 1544
15 19 1282
48 57 1011
54 31 1500
99 20 1638
29 5 1440
97 108 1617
79 27 1472
21 31 880
60 56 2707
69 104 2731
29 65 658
84 47 1774
89 15 1712
88 12 1433
79 74 720
49 8 1563
69 54 2354
2 90 1970
74 52 1579
85 86 1549
41 42 1881
4 18 1145
102 106 1375
97 101 1366
92 87 943
62 43 1745
65 20 1795
22 21 1899
55 2 1144
64 86 1192
85 19 1989
4 22 489
62 31 1223
58 19 2162
65 19 1584
53 80 1595
64 36 1948
36 49 2436
99 42 1219
92 60 537
74 64 928
52 29 170
72 94 1865
43 85 1535
45 75 1744
20 18 1855
91 24 825
69 23 1609
86 26 1473
67 89 2460
10 26 1006
47 26 1569
33 95 1693
9 11 1576
28 71 975
93 90 1950
62 84 1185
84 6 2380
1 41 1909
106 2 2403
39 17 1970
64 12 2446
50 65 701
16 48 2076
16 22 919
64 14 1011
105 30 1426
15 38 1533
32 1 1689
59 105 1073
15 33 2534
9 96 477
40 51 1040
1 27 2078
38 86 206
67 59 2166
97 72 1423
31 103 1811
20 42 2532
56 100 2298
65 22 2116
23 57 1142
89 108 1543
7 82 1916
1 11 1602
59 45 972
39 107 1960
59 106 1004
6 97 2542
87 10 816
20 55 1723
77 32 1378
92 25 1809
65 56 1871
91 61 666
28 54 2343
42 93 1691
32 44 1872
40 13 2226
65 49 1018
11 16 1101
59 71 811
99 40 1665
92 14 1069
27 83 1662
85 68 1665
24 3 1790
52 67 1316
64 18 470
21 80 2762
12 106 1809
3 37 756
64 46 1037
94 7 1079
68 50 2269
43 39 2118
61 63 1931
20 34 1759
87 24 1456
14 57 1953
27 43 3354
64 30 1979
101 24 1060
50 11 2041
94 71 620
81 106 1525
40 50 1179
18 89 1000
48 53 683
74 95 2432
45 16 2332
62 32 709
101 76 1680
81 34 644
100 19 1579
90 8 623
77 80 1819
74 54 1764
18 61 1287
61 36 1551
30 67 1820
22 51 1765
11 84 2155
2 10 2772
91 17 2028
79 83 1137
9 62 1737
25 82 1331
86 9 1264
23 92 2280
61 50 2176
71 41 1689
88 50 900
71 83 1045
73 69 2169
47 43 2869
90 52 1327
65 15 2151
89 96 1487
88 47 1075
29 17 354
85 56 1702
54 52 1434
36 38 679
87 21 737
70 85 1247
31 82 2787
14 61 1081
73 106 2066
94 82 2317
16 73 1514
69 32 1574
93 53 1607
22 56 1781
43 68 1767
19 1 1388
14 69 870
86 82 979
87 71 1459
89 103 592
69 58 1179
100 6 1344
44 5 2104
8 106 1677
75 61 723
75 45 1727
105 75 1147
10 68 1953
22 47 1822
105 43 1626
4 3 1294
79 10 1308
30 53 1492
2 76 1951
28 66 1070
21 70 2418
46 30 1331
68 80 1410
46 83 561
82 53 2248
105 108 1733
89 75 1555
22 10 2062
46 98 1140
82 75 1042
35 104 1212
102 87 614
84 79 2015
73 39 1909
11 28 1026
27 18 1452
101 41 2124
19 20 1632
72 98 1429
107 94 1179
8 72 1399
4 108 429
82 46 1674
28 53 2475
55 72 1296
72 71 1806
20 107 3005
40 81 1714
84 61 2209
16 59 1340
29 42 1136
28 65 1541
89 53 2361
49 68 2278
28 92 1918
46 97 1997
50 92 2106
3 70 978
81 76 680
38 41 1571
90 33 2263
65 95 1877
